Dataset,"Image Resolution",ViT-B/32,,ViT-B/16,,ViT-L/14,,ViT-L/14@336px,,RN50,,RN101,,RN50x4,,RN50x16,,RN50x64,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
FGVC Aircraft,224 (original),19.74,49.68,24.39,60.4,31.65,78.19,33.39,78.52,17.16,46.08,18.51,46.59,21.09,54.34,27.87,60.88,31.08,72.25
,128,17.76,48.18,22.59,56.8,29.67,72.49,29.13,71.95,15.78,42.48,17.49,46.08,18.69,47.61,20.85,50.11,25.98,62.35
,64,13.44,37.83,17.07,44.25,21.45,56.02,20.79,54.79,9.81,26.52,11.94,32.28,9.45,28.56,11.4,31.95,17.34,45.09
,32,6.54,21.75,7.74,22.68,11.37,32.46,10.98,30.84,4.02,13.41,3.99,15.27,4.11,12.39,3.51,13.02,6.18,20.64
,16,3.36,12.3,2.94,10.44,3.99,15.54,3.87,13.08,1.65,6.42,1.92,6.39,1.5,6.57,1.11,7.41,1.38,7.86
Oxford Pets,224 (original),87.49,99.32,89.07,99.54,93.51,99.81,93.84,99.84,85.69,99.24,86.92,99.07,88.85,98.77,90.08,99.75,93.59,99.78
,128,86.15,98.94,88.17,99.35,93.02,99.92,93,99.89,84.27,98.88,83.29,98.36,84.96,97.74,85.91,99.45,92.78,99.81
,64,79.26,97.79,81.96,97.98,89.29,99.7,89.29,99.73,69.12,94.69,75.25,95.99,73.45,95.61,75.25,97.87,86.32,99.32
,32,60.59,91.58,62.77,91.61,78.25,97.77,77.54,97.41,36.25,71.63,40.99,78.88,41.81,79.26,44.37,80.02,57.75,89.02
,16,28.35,63.29,30.01,60.83,40.56,71,38.73,70.05,11.2,33.25,11.09,37.67,13.6,41.02,11.37,32.57,13.71,39.19
Flowers102,224 (original),66.38,85.74,71.18,86.32,79.12,92.15,78.52,92.13,66.22,84.81,65.05,85.49,69.9,87.14,72,88.58,77.51,92.06
,128,65.17,85.48,69.87,86.03,77.87,91.53,77.17,91.36,61.9,83.22,62.14,83.28,62.84,84.31,68.81,86.34,73.04,91.06
,64,54.48,81.14,62.64,82.89,73.54,89.22,72.4,89.14,47.54,74.48,50.94,77.41,48.32,75.78,56.81,80.73,62.42,86.13
,32,36.48,65.31,41.23,68.79,55.6,79.87,53.89,79.53,20.62,45.73,28.49,56.37,24.8,52.4,27.4,58.09,37,65.91
,16,14.05,35.96,13.64,35.4,22.74,45.91,22.02,44.66,6.73,18.8,6.05,19.6,8.6,23.52,7.85,22.46,9.81,29.16
EuroSAT,224 (original),46.76,91.96,55.5,87.65,62.06,95.37,61.39,96.07,39.33,91.72,29.81,81.07,33.06,81.24,41.69,85.31,56.5,94.39
,128,49.78,92.43,56.15,88.72,62.24,96.43,62.52,96.96,37.94,90.96,30.11,81.28,34.91,82.43,42.61,85.2,56.46,93.85
,64,46.76,91.96,55.5,87.65,62.06,95.37,61.39,96.07,39.33,91.72,29.81,81.07,33.06,81.24,41.69,85.31,56.5,94.39
,32,28.52,81.41,36.65,80.44,44.74,85.3,46.3,87.44,23.78,79.59,22.94,68.35,17.43,61.07,26.35,68.57,31.93,79.54
,16,10.52,65.69,22.02,70.72,14.43,64.93,15.94,65.07,20.69,68.22,10.98,50.93,10.07,47.17,18.91,58.65,23.28,68.74
UCF101,224 (original),62.68,87.92,67.3,89.32,73.67,92.39,74.49,93.29,61.88,85.83,59.85,87.1,63.28,89.03,66.27,89.48,72.69,91.67
,128,62.86,87.76,67.88,89.11,73.04,91.88,72.59,92.2,60.56,85.7,59.93,86.6,62.23,88.5,65.08,89.27,71.19,91.57
,64,58.52,84.77,62.15,86.33,68.31,90.33,69.34,90.33,52.6,79.3,51.89,79.96,52.39,80.15,55.38,83.19,64.05,87.26
,32,42.72,70.79,44.44,71.74,56.6,80.99,55.99,80.25,26.54,51.31,26.54,52,27.12,51.89,31.64,57.26,40.76,67.46
,16,14.96,35.34,16.12,35.66,27.28,49.09,25.8,46.07,3.09,13.59,3.38,11.87,3.09,11.87,3.3,13.9,5.68,22.87
