Dataset,"Image 
Resolution",OpenCLIP-ViT-B/16,,OpenCLIP-ViT-B/32@256px,,"OpenCLIP-ViT-L/14
(laion2b_s32b_b82k)",,"OpenCLIP-ViT-L/14
(datacomp_xl_s13b_b90k)",,OpenCLIP-ViT-H/14,,OpenCLIP-ViT-H/14-quickgelu,,"OpenCLIP-
ViT-H/14-quickgelu@336px",,OpenCLIP-ViT-G/14,
,,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5,Top1,Top5
,64,72.58,90.06,74.53,90.45,70.47,86.88,79.87,92.42,77.79,91.43,91.27,98.47,90.78,98.44,79.9,93.14
,32,60.5,82.89,65.49,85.92,55.93,78.83,72.17,89.38,67.91,87.56,86.68,97.17,86.06,96.45,70.84,88.32
,16,32.12,61.8,36.02,63.67,23.26,48.25,43.99,71.64,36.2,64.53,60.9,83.04,58.33,81.59,40.97,67.36
EuroSAT,224 (original),57.02,94.5,65.87,97.89,57.22,90,71.76,98.28,73.19,95.13,65.07,98.11,63.57,98.2,69.59,98.91
,128,55.78,94.17,65.89,97.94,55.43,89.78,72.72,97.3,72.31,93.24,65.78,98.22,65.43,98.17,70.22,98.39
,64,57.02,94.5,64.94,97.78,57.22,90,71.76,98.28,73.19,95.13,65.07,98.11,60.87,98.19,69.59,98.91
,32,43.67,87.93,52.69,94.35,43.54,81.09,56.24,92.89,58.7,90.39,58.69,95.54,61.13,96.91,56.74,93.56
,16,21.74,68.13,29.17,76.09,19.33,70.93,38.41,81.72,24.96,66.57,32.07,76.98,21.91,77.94,34.81,76.46
UCF101,224 (original),68.6,87.5,65.32,87.5,71.11,91.3,73.28,91.75,75.13,93.81,77.5,93.39,78.17,94,78.69,95.56
,128,68.44,86.73,64.39,86.31,69.34,90.64,71.61,91.3,74.07,93.66,77.11,93.31,77.5,93.29,78.03,95.64
,64,63.65,84.83,61.09,84.77,65.66,88.74,69.92,89.43,69.76,91.65,73.35,90.67,73.59,90.88,74.6,93.71
,32,51.63,76.95,49.09,75.57,51.39,77.03,59.19,83.29,57.73,83.45,60.93,82.39,60.45,82.08,62.25,84.88
,16,25.88,50.41,22.71,49.41,20.33,44.28,31.77,57.52,28.71,53.32,30.77,53.93,30.69,52.92,31.22,56.09
