Model,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
OpenCLIP-ViT-G/14,0.40600367130979376,0.40600367130979376,0.31530545215677686,0.31530545215677686,0.5058194400754954,0.5058194400754954,0.2595019659239843,0.2595019659239843,0.3322552556288096,0.3322552556288096,0.25425931273462316,0.25425931273462316,0.26153521275472497,0.26153521275472497,0.287154338645961,0.287154338645961,0.22783180778032036,0.22783180778032036,0.3906709435979685,0.3906709435979685,0.7358718314495776,0.7358718314495776,0.07903055848261327,0.07903055848261327,0.39674672766552294,0.39674672766552294,0.5048675292667898,0.5048675292667898,0.5002155482109498,0.5002155482109498,0.36380463971226074,0.3009417647627725
OpenCLIP- ViT-H/14-quickgelu@336px,0.43479657387580295,0.43479657387580295,0.42732866539359216,0.42732866539359216,0.582439125051589,0.582439125051589,0.23309478603768075,0.23309478603768075,0.40417163289630503,0.40417163289630503,0.36757669575007035,0.36757669575007035,0.308237747653806,0.308237747653806,0.34689672933299,0.34689672933299,0.2735475051264525,0.2735475051264525,0.4104826154644525,0.4104826154644525,0.8192109022969558,0.8192109022969558,0.07683261466091729,0.07683261466091729,0.3926058590252015,0.3926058590252015,0.639022787028922,0.639022787028922,0.3446594305490011,0.3446594305490011,0.4040602446762493,0.28827375290488366
MetaCLIP- ViT-L/14 (2.5B),0.455595510515419,0.455595510515419,0.3056949596334279,0.3056949596334279,0.5871792163903263,0.5871792163903263,0.25579854208084823,0.25579854208084823,0.37421065925738817,0.37421065925738817,0.3193265007320644,0.3193265007320644,0.26836412798557907,0.26836412798557907,0.3413726571113561,0.3413726571113561,0.3179115300942712,0.3179115300942712,0.45956765412329864,0.45956765412329864,0.8251178739819975,0.8251178739819975,0.08003334722801167,0.08003334722801167,0.4577491474043198,0.4577491474043198,0.48426531106269666,0.48426531106269666,0.33884013078643954,0.33884013078643954,0.3914018112258296,0.28542442754121333
CoCa-ViT-L/14 (laion2b_s13b_b90k),0.37348847821127085,0.37348847821127085,0.2823463056965595,0.2823463056965595,0.5051063829787233,0.5051063829787233,0.16390728476821192,0.16390728476560604,0.32333113020489096,0.32333113020489096,0.31001437470052706,0.31001437470052706,0.19299191374663072,0.19299191374663072,0.29120070629782224,0.29120070629782224,0.19545032497678738,0.19545032497678738,0.3858881444003829,0.3858881444003829,0.74774873709642,0.74774873709642,0.07680807325733509,0.07680807325733509,0.3994834851162159,0.3994834851162159,0.5023822128110111,0.5023822128110111,0.46430116832540025,0.46430116832540025,0.3476299148392127,0.2785066055057134
BLIP-ViT-L/16 (129M),0.2729794477367293,0.2729794477367293,0.23637303022474812,0.23637303022474812,0.35601509012155935,0.35601509012155935,0.37640449438202245,0.1190278029557882,0.23561965453630723,0.23561965453630723,0.2068429237947123,0.2068429237947123,0.07166642536557116,0.07166642536557116,0.19985113509490138,0.19985113509490138,0.10166948039767398,0.10166948039767398,0.2780116580310881,0.2780116580310881,0.5630891538898353,0.5630891538898353,0.10354061291282357,0.10354061288170553,0.3027738598965679,0.3027738598965679,0.42801175318315376,0.42801175318315376,0.6366950182260024,0.6366950158501617,0.2913029158529131,0.2746755378102099
MetaCLIP- ViT-B/16 (2.5B),0.37570452092577045,0.37570452092577045,0.21840533088235295,0.21840533088235295,0.5028895431250682,0.5028895431250682,0.1852941176470588,0.18529411320538375,0.2818912922906267,0.2818912922906267,0.24879071267333117,0.24879071267333117,0.125602700096432,0.125602700096432,0.249615739317553,0.249615739317553,0.23853058510638298,0.23853058510638298,0.3189010356731876,0.3189010356731876,0.7360282747956703,0.7360282747956703,0.07218167072181671,0.07218167072181671,0.34588701684836476,0.34588701684836476,0.39505187549880283,0.39505187549880283,0.5150265173836182,0.5150265173836167,0.32065339553240246,0.2714155410770159
OpenCLIP-ViT-B/16,0.3723973825104105,0.3723973825104105,0.3242571460851881,0.3242571460851881,0.4988095238095238,0.4988095238095238,0.2,0.19999999997153337,0.3212145969498911,0.3212145969498911,0.32752673335632976,0.32752673335632976,0.09632107023411371,0.09632107023411371,0.27602905569007263,0.27602905569007263,0.2160154988698741,0.2160154988698741,0.3529664045746962,0.3529664045746962,0.7370215574131105,0.7370215574131105,0.0989204670632298,0.0989204670632298,0.37725947521865894,0.37725947521865894,0.42548681944628425,0.42548681944628425,0.3812697299193265,0.3812697299193265,0.33369969740938066,0.26498951683334704
M2-Encoder-10B ,0.3365273608866312,0.3365273608866312,0.30984467793513015,0.30984467793513015,0.43114224137931034,0.43114224137931034,0.22192866578599735,0.22191108873477142,0.2931717812252293,0.2931717812252293,0.3058201058201058,0.3058201058201058,0.14032432432432432,0.14032432432432432,0.2673157162726008,0.2673157162726008,0.19005021971123665,0.19005021971123665,0.3308189655172414,0.3308189655172414,0.7190716006130939,0.7190716006130939,0.07813338101197927,0.07813338101197927,0.3549323017408124,0.3549323017408124,0.42665450755601875,0.42665450755601875,0.41155234657039713,0.41155234657039713,0.32115254642334057,0.2649486547755167
CoCa-ViT-B/32,0.31503482179434655,0.31503482179434655,0.21762729387438615,0.21762729387438615,0.39481656008078087,0.39481656008078087,0.20031796502384736,0.1999853785717558,0.2522012578616352,0.2522012578616352,0.2604127579737336,0.2604127579737336,0.11066207060501605,0.11066207060501605,0.24192390524048818,0.24192390524048818,0.15197509243043392,0.15197509243043392,0.2836407620199577,0.2836407620199577,0.652086137281292,0.652086137281292,0.13051555968416162,0.13049675643411088,0.31460674157303375,0.31460674157303375,0.37509655492043875,0.37509655492043875,0.44096225998675787,0.4409622599802286,0.2894586493566873,0.2630508070357014
BLIP-ViT-L/16  (129M + COCO),0.2614596975830456,0.2614596975830456,0.20335597283260087,0.20335597283260087,0.32923640167364016,0.32923640167364016,0.3333333333333333,0.16558867894493648,0.21831548665494646,0.21831548665494646,0.22228330584570277,0.22228330584570277,0.058367466354593334,0.058367466354593334,0.19413585867783648,0.19413585867783648,0.11488439306358382,0.11488439306358382,0.2633500684618895,0.2633500684618895,0.5424016282225237,0.5424016282225237,0.08870143149284254,0.0887014314928327,0.30069284064665125,0.30069284064665125,0.3273955773955774,0.3273955773955774,0.5640610961365679,0.5640610961365679,0.2681316372250223,0.2603466291829958
