Model,dtd_Relative-Robustness,dtd_Improved-Relative-Robustness,sun397_Relative-Robustness,sun397_Improved-Relative-Robustness,imagenet_Relative-Robustness,imagenet_Improved-Relative-Robustness,imagenet-a_Relative-Robustness,imagenet-a_Improved-Relative-Robustness,imagenet-r_Relative-Robustness,imagenet-r_Improved-Relative-Robustness,food101_Relative-Robustness,food101_Improved-Relative-Robustness,ucf101_Relative-Robustness,ucf101_Improved-Relative-Robustness,flowers102_Relative-Robustness,flowers102_Improved-Relative-Robustness,eurosat_Relative-Robustness,eurosat_Improved-Relative-Robustness,imagenet-v2_Relative-Robustness,imagenet-v2_Improved-Relative-Robustness,oxford_pets_Relative-Robustness,oxford_pets_Improved-Relative-Robustness,stanford_cars_Relative-Robustness,stanford_cars_Improved-Relative-Robustness,caltech101_Relative-Robustness,caltech101_Improved-Relative-Robustness,imagenet-sketch_Relative-Robustness,imagenet-sketch_Improved-Relative-Robustness,fgvc_aircraft_Relative-Robustness,fgvc_aircraft_Improved-Relative-Robustness,SAR_Relative-Robustness,WAR_Improved-Relative-Robustness
M2-Encoder-1B ,0.900678028220634,0.900678028220634,0.9514786103933391,0.9514786103933391,0.9284348864994025,0.9284348864994025,0.578519696166755,0.578519696166755,0.9223548499246725,0.9223548499246725,0.9252916356415984,0.9252916356415984,0.9467849223946784,0.9467849223946784,0.9660096228465,0.9660096228465,1.0,1.0,0.9000286861732645,0.9000286861732645,0.9596746077861709,0.9596746077861709,0.8931929824561403,0.8931929824561403,0.9595604395604395,0.9595604395604395,0.87767929089444,0.87767929089444,0.9227722772277228,0.9061319890225332,0.9088307024123837,0.86248164956455
OpenCLIP-ViT-L/14 (datacomp_xl_s13b_b90k),0.9295795795795796,0.9295795795795796,0.9591975057611496,0.9591975057611496,0.9302706104468218,0.9302706104468218,0.6244970943227537,0.6244970943227537,0.9428571428571428,0.9428571428571428,0.9591198360478913,0.9591198360478913,0.9541484716157206,0.9541484716157206,0.9801202601546203,0.9801202601546203,1.0,1.0,0.9069252077562328,0.9069252077562328,0.9638985369961056,0.9638985369961056,0.915180002136524,0.915180002136524,0.9749834692528103,0.9749834692528103,0.9078775569418249,0.9078775569418249,0.8034855769230769,0.8034855769230769,0.9168093900528169,0.8594366346287127
EVA-02-CLIP-B/16,0.9263896793777271,0.9263896793777271,0.9652247667514844,0.9652247667514844,0.9474036402569594,0.9474036402569594,0.5959933222036728,0.5959933222036728,0.948261134838316,0.948261134838316,0.9469480889903023,0.9469480889903023,0.9824076766501889,0.9824076766501889,0.97775730455383,0.97775730455383,1.0,1.0,0.936147993435775,0.936147993435775,0.9792909031768404,0.9792909031768404,0.9320610687022902,0.9320610687022902,1.0126069338135975,1.0126069338135975,0.8953750216525204,0.8953750216525204,0.8076923076923077,0.8076841292262342,0.9235706561397209,0.8575428287023615
OpenCLIP-ViT-G/14,0.9192896332659544,0.9192896332659544,0.9621758887997862,0.9621758887997862,0.9277273292698096,0.9277273292698096,0.5766972753274123,0.5766972753274123,0.9451463124932513,0.9451463124932513,0.9575213488066563,0.9575213488066563,0.9480238912187062,0.9480238912187062,0.984596426370918,0.984596426370918,1.0,1.0,0.9006947282386597,0.9006947282386597,0.9688581314878892,0.9688581314878892,0.9761376834547567,0.9761376834547567,0.9869417315922309,0.9869417315922309,0.9041762013729977,0.9041762013729977,0.8447856206702865,0.8447856206702865,0.9201848134912876,0.8573473494612869
CoCa-ViT-B/32,0.926078799249531,0.926078799249531,0.9366495312972483,0.9366495312972483,0.8987421383647798,0.8987421383647798,0.6163492800743149,0.6162604832315486,0.9366379898948518,0.9366379898948518,0.9116050659085037,0.9116050659085037,0.9698746132551702,0.9698746132551702,0.9371234358102888,0.9371234358102888,1.0,0.9999999999851931,0.8786791098348887,0.8786791098348887,0.9357118815213734,0.9357118815213734,0.9385474860335196,0.9385474860335196,0.9775684163301929,0.9775684163301929,0.8844133099824869,0.8844133099824869,0.8187599364069952,0.8174005552734463,0.9044493995976097,0.8540117049809028
M2-Encoder-10B ,0.8931216931216931,0.8931216931216931,0.9527209051724139,0.9527209051724139,0.9350016985618842,0.9350016985618842,0.6043268371178258,0.6043268371178258,0.9279612098822442,0.9279612098822442,0.9395842850616719,0.9395842850616719,0.9517822602928987,0.9517822602928987,0.9343408025013027,0.9343408025013027,1.0,1.0,0.9050069541029205,0.9050069541029205,0.9577586206896551,0.9577586206896551,0.9556756756756757,0.9556756756756757,0.9748193562513685,0.9748193562513685,0.8945386064030132,0.8945386064030132,0.8177014531043593,0.8176366900406161,0.9096226905292618,0.8531072047765809
CoCa-ViT-L/14 (laion2b_s13b_b90k),0.9319597508385242,0.9319597508385242,0.9622589908382334,0.9622589908382334,0.9291473892927958,0.9291473892927958,0.5711082040740049,0.5711082040740049,0.9536846908510153,0.9536846908510153,0.9401015228426396,0.9401015228426396,0.9456300122332473,0.9456300122332473,0.9812069878242456,0.9812069878242456,1.0,1.0,0.9136256621542085,0.9136256621542085,0.979468085106383,0.979468085106383,0.9604312668463612,0.9604312668463612,0.9871513287942016,0.9871513287942016,0.9121015165583409,0.9121015165583409,0.808774834437086,0.8087748344242277,0.9184433495127524,0.851573294410815
CoCa-ViT-L/14 (laion2b_s13b_b90k + mscoco),0.9103326369918047,0.9103326369918047,0.9410374078709499,0.9410374078709499,0.9126698087052953,0.9126698087052953,0.5581750709452085,0.5581750709452085,0.9465604125161139,0.9465604125161139,0.9226024912323135,0.9226024912323135,0.9371588523442966,0.9371588523442966,0.9715452880687422,0.9715452880687422,1.0,1.0,0.8896764252696455,0.8896764252696455,0.9747375328083989,0.9747375328083989,0.9313537315117986,0.9313537315117986,0.9812237685001104,0.9812237685001104,0.8984630477436234,0.8984630477436234,0.8365261813537676,0.8364929543074441,0.907470843724138,0.8461242658333769
OpenCLIP-ViT-H/14,0.8996611168410196,0.8996611168410196,0.9512680918868676,0.9512680918868676,0.9169014084507043,0.9169014084507043,0.5827021314074334,0.5827021314074334,0.9274103763081719,0.9274103763081719,0.9478615520282186,0.9478615520282186,0.928523891920671,0.928523891920671,0.9783675009432776,0.9783675009432776,1.0,1.0,0.885469364811692,0.885469364811692,0.9627394940192654,0.9627394940192654,0.9401954535797749,0.9401954535797749,0.9821448132325555,0.9821448132325555,0.8853183962264151,0.8853183962264151,0.7840982546864901,0.7840982546864901,0.9048441230895037,0.8415603987748632
OpenCLIP-ViT-B/16,0.9367023111417732,0.9367023111417732,0.9352394567548249,0.9352394567548249,0.8967864923747277,0.8967864923747277,0.5642211940956158,0.5642211940956158,0.9181439619274242,0.9181439619274242,0.9256581177268105,0.9256581177268105,0.9278425655976676,0.9278425655976676,0.9614518479268778,0.9614518479268778,1.0,1.0,0.8509382566585956,0.8509382566585956,0.9444805194805194,0.9444805194805194,0.8420289855072464,0.8420289855072464,0.9841619005719314,0.9841619005719314,0.8729415563448499,0.8729415563448499,0.8233766233766234,0.8233766232594295,0.8922649192990326,0.8407974748011501
